招聘名称,发布时间,招聘信息
会计师事务所诚聘,发布于: 2023/07/17   2:21 pm,"招聘,全职,文职人员,Rowland Heights周边地区,HONGAN ACCOUNTANCY CORPORATION,CASTLETON ST CITY OF INDUSTRY CA,否"
20万尺海外仓招聘,发布于: 2023/06/26   2:03 pm,"招聘,全职,仓库,Chino周边地区,否"
韩国第一环境家电Coway USA 华人部 诚聘销售经理,发布于: 2021/05/21   11:43 am,"招聘,全职,销售,Orange County,Coway USA 美国华人部,4221 Wilshire Blvd Suite 308 Los Angeles CA90010,否"
$时薪20-30！招带货主播/助理/司机/仓库/订单,发布于: 2020/09/12   8:04 am,"招聘,兼职,销售,Chino周边地区,Jiicow,rancho cugamonga,否"
"海关报关师,年入12万美元",发布于: 2017/08/24   3:44 pm,"招聘,全职,文职人员,San Gabriel周边地区,USA Golden Key,是"
送餐 外卖,发布于: 2023/07/22   5:54 pm,"招聘,全职,司机,其他地区,是"
诚聘销售经理,发布于: 2023/06/05   7:05 pm,"招聘,全职,销售,其他地区,龙贸易有限公司,否"
物流助理 (Logistic Coordinator),发布于: 2023/05/30   3:21 pm,"招聘,全职,文职人员,Rowland Heights周边地区,Hubs Supply Chain Solutions Inc,12930 Alondra Blvd Cerritos CA,否"
招聘销售助理,发布于: 2023/06/02   9:32 am,"招聘,全职,销售,其他地区,Weida Technology,否"
招聘 司机 无身份送餐,发布于: 2023/07/22   12:16 pm,"招聘,短期工作,司机,其他地区,doordash uber,是"
Irvine面食店,发布于: 2023/07/22   5:42 pm,"招聘,全职,餐厅,Orange County,noodle,否"
上市公司仓库以及办公室招贤纳士,发布于: 2023/07/20   5:16 pm,"招聘,全职,仓库,San Gabriel周边地区,CTS GLOBAL SUPPLY CHAIN SOLUTIONS,2300 S Eastern ave commerce ca,否"
招聘超市试吃促销员数名,发布于: 2023/07/22   5:36 pm,"招聘,兼职,销售,Rowland Heights周边地区,否"
"Chino Hills 美容院诚聘,前台,美容师",发布于: 2019/10/16   10:36 pm,"其他,全职,其他,Chino周边地区"
招女分菜员,发布于: 2023/07/22   5:30 pm,"招聘,兼职,餐厅,大学周边地区"
招聘 Cricket Wireless Now Hiring,发布于: 2021/06/28   4:09 pm,"招聘,全职,销售,Orange County,Cricket Wireless,否"
招聘,发布于: 2023/07/22   5:24 pm,"其他,兼职,餐厅,大学周边地区"
尔湾美甲店招聘美甲师美睫师6266241255,发布于: 2022/01/01   10:43 am,"招聘,兼职,其他,Orange County"
招聘全职和兼职店员！美国大卖场！商场柜台场地出租！,发布于: 2023/07/22   5:18 pm,"招聘,兼职,仓库,Rowland Heights周边地区,否"
Chino海外仓诚聘仓库操作人员、运营助理(带薪假期、奖金),发布于: 2022/10/17   2:05 pm,"招聘,全职,司机,Chino周边地区,Chino CA,否"
"[长期招聘]长途卡车司机,无需经验需要英文,w2报税月入4k-8k。有人抄袭,谨防假冒。",发布于: 2022/09/06   8:06 pm,"招聘,全职,司机,Chino周边地区,否"
"Temecula 招美睫学员,免费,学成留店工作。",发布于: 2021/10/05   5:46 pm,"招聘,兼职,文职人员,其他地区,Una Lash,Temecula,否"
Fontana仓库诚招多岗位员工,发布于: 2020/10/28   12:50 pm,"招聘,全职,仓库,Chino周边地区,否"
天普肉类超市招全职营业员,发布于: 2023/07/16   6:04 pm,"招聘,全职,销售,San Gabriel周边地区,否"
诚聘美妆日化包材销售经理,发布于: 2022/04/20   5:39 am,"招聘,全职,销售,Chino周边地区,NingBo YiJiang Commodity,否"
Chino诚聘英文流利店员2名,发布于: 2022/04/08   6:08 pm,"招聘,全职,仓库,Chino周边地区,全职店员2名,否"
洛杉矶牙科中心招聘啦,发布于: 2023/04/18   11:22 am,"招聘,全职,文职人员,Chino周边地区,否"
Fontana仓库诚招全职仓库员工,发布于: 2021/07/07   12:15 pm,"其他,全职,仓库,Chino周边地区"
保险公司招聘,发布于: 2023/06/23   11:24 am,"招聘,兼职,销售,Rowland Heights周边地区"
聘请FM培训生&会计 欢迎new graduate ️sponsor身份！,发布于: 2023/07/17   5:12 pm,"招聘,全职,文职人员,Rowland Heights周边地区,Link US Transportation,否"
Torrance日餐堂吃店招聘企台,发布于: 2023/07/22   4:39 pm,"招聘,全职,餐厅,其他地区,否"
贸易公司位于City of Industry 诚聘Sales Representative & Customer Service Representative,发布于: 2021/11/25   9:30 pm,"招聘,全职,销售,Rowland Heights周边地区,Mayflower Auto Equipments Inc,City of Industry CA,否"
"美国海军技术工种岗位招聘中,经济衰退时期的避风港,一旦拥有,别无所求！",发布于: 2021/10/24   9:35 pm,"招聘,全职,其他,大学周边地区,美国,288 S San Gabriel San Gabriel CA,否"
招聘操作,发布于: 2023/07/21   10:09 pm,"招聘,全职,仓库,Rowland Heights周边地区,否"
EL MONTE - FRONT DESK JOB -前台-人员,发布于: 2021/08/03   2:26 pm,"招聘,兼职,文职人员,San Gabriel周边地区,否"
招生鲜包裹配送司机 需自带七人座Van,发布于: 2023/07/07   7:39 pm,"招聘,全职,司机,Orange County,否"
"美国海军招聘现役及预备役人员（最新考试仅需10分,放宽年龄17-42岁）",发布于: 2022/10/06   10:03 pm,"招聘,全职,其他,Rowland Heights周边地区,US NAVY,否"
专业室内装修大工求职,发布于: 2023/02/17   8:23 am,"招聘,全职,其他,San Gabriel周边地区,燕子家装,否"
求川湘菜馆后厨工作…或日餐,发布于: 2023/07/22   4:09 pm,"求职,全职,餐厅,其他地区"
诚聘汽车钣金师傅Body Man,发布于: 2023/06/26   8:07 pm,"招聘,全职,其他,San Gabriel周边地区,temple city 天普汽车钣金店,否"
"协助新手拨打驾照电话,报名",发布于: 2023/07/15   10:09 am,"招聘,兼职,司机,San Gabriel周边地区,Sean,否"
招聘长途solo卡车司机,发布于: 2023/05/11   6:06 pm,"招聘,全职,司机,Rowland Heights周边地区,否"
Temple City 培训学校前台(时薪 $17-$20加Bonus/兼职/ 中英双语),发布于: 2021/12/21   1:19 am,"招聘,兼职,文职人员,San Gabriel周边地区,Seeds Academy,9443 1/2 Las Tunas Dr. Temple City CA,否"
专做地板安装,发布于: 2023/07/21   10:19 am,"求职,全职,其他,其他地区"
美国陆军U.S.ARMY 招兵 现役/预备役/军官/飞行员,发布于: 2022/11/30   12:09 pm,"招聘,全职,其他,San Gabriel周边地区,美国陆军 （U.S.ARMY),1229 E. Colorado Blvd suite 150 Pasadena CA,否"
