DB31/T 1253-2020,板管热交换器节能技术要求,上海市市场监督管理局,2021-02-01,现行
DB31/T 1342-2021,乘用车单位产品能源消耗限额,上海市市场监督管理局,2022-04-01,现行
DB31/T 178-2020,照明设备合理用电导则,上海市市场监督管理局,2020-11-01,现行
DB31/T 204-2021,冷却塔及其系统经济运行,上海市市场监督管理局,2021-10-01,现行
DB31/T 214-2013,节能产品评审方法和程序,上海市质量技术监督局,2013-12-01,现行
DB31/T 223-2020,蒸汽供热系统经济运行,上海市市场监督管理局,2020-06-01,现行
DB31/T 25-2020,热处理电热设备节能监测与经济运行,上海市市场监督管理局,2020-05-01,现行
DB31/T 255-2020,集中式空调（中央空调）系统节能运行和管理技术要求,上海市市场监督管理局,2020-11-01,现行
DB31/T 34-2020,工业炉窑热平衡测试与计算通则,上海市市场监督管理局,2020-06-01,现行
DB31/T 596-2021,城市轨道交通合理通风技术管理要求,上海市市场监督管理局,2021-10-01,现行
DB31/T 656-2021,铝及铝合金熔解保温炉节能运行评价指标,上海市市场监督管理局,2021-10-01,现行
DB31/T 668.1-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第2部分：空气压缩机系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.11-2012,节能技术改造及合同能源管理项目 节能量审核与计算方法 第11部分 照明系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.16-2020,节能技术改造及合同能源管理项目节能量审核与计算方法 第16部分：烟道式余热回收,上海市市场监督管理局,2020-06-01,现行
DB31/T 668.17-2020,节能技术改造及合同能源管理项目节能量审核与计算方法 第17部分：异形柔性保温,上海市市场监督管理局,2020-06-01,现行
DB31/T 668.2-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第2部分 空气压缩机系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.3-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第3部分 电机系统（水泵）,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.4-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第4部分 锅炉系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.5-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第5部分 电梯系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.6-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第6部分 炉窑系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.8-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第8部分 电磁感应加热,上海市质量技术监督局,2013-05-01,现行
DB31/T 668.9-2012,节能技术改造及合同能源管理项目节能量审核与计算方法 第9部分 制冷系统,上海市质量技术监督局,2013-05-01,现行
DB31/T 72-2020,工业锅炉运行检测与控制装置的配置,上海市市场监督管理局,2020-08-01,现行
DB31/T 73-2020,水泥粉磨系统运行管理与节能监测,医疗应急救援车载移动.,2020-11-01,现行
DB31/T 787-2014,能源计量数据采集系统 通用代码规范,上海市质量技术监督局,2014-07-01,现行
DB31/T 796-2014,节能改造服务规范,上海市质量技术监督局,2014-08-01,现行
DB32/T 3876-2020,工业企业能耗大数据采集质量评价规程,江苏省市场监督管理局,2020-11-13,现行
DB36/T 902-2016,铸钢件可比单位综合能耗限额,江西省质量监督技术局,2016-07-01,废止
DB36/T 903-2016,铸铁件可比单位综合能耗限额,江西省质量监督技术局,2016-07-01,废止
DB37/T 3153-2018,燃气行业企业安全生产风险分级管控体系建设实施指南,山东省质量技术监督局,2018-03-24,现行
DB37/T 3154-2018,燃气行业企业生产安全事故隐患排查治理体系建设实施指南,山东省质量技术监督局,2018-03-24,现行
DB43/T 1224-2016,生物质燃料工业锅炉节能监测,湖南省质量技术监督局,2017-02-19,现行
DB43/T 1231-2016,单位产品综合能耗计算及限额制定通则,湖南省质量技术监督局,2017-02-19,现行
DB43/T 1233-2016,卷烟单位产品能源消耗限额,湖南省质量技术监督局,2017-02-26,现行
DB43/T 464-2016,日用陶瓷单位产品能耗限额及计算方法,湖南省质量技术监督局,2017-02-19,现行
DB43/T 466-2016,艺术陶瓷单位产品能耗限额及计算方法,湖南省质量技术监督局,2017-02-19,现行
DL/T 246-2015,化学监督导则,国家能源局,2015-09-01,现行
DL/T 510-2010,全国电网名称代码,国家能源局,2010-10-01,现行
DL/T 977-2005,发电厂热力设备化学清理单位管理规定,国家发展和改革委员会,2006-06-01,作废
GB/T 10201-2008,热处理合理用电导则,国家质量监督检验检疫.,2009-01-01,现行
GB/T 1028-2018,工业余能资源评价方法,国家市场监督管理总局.,2019-04-01,现行
GB 12021.2-2008,家用电冰箱耗电量限定值及能源效率等级,国家质量监督检验检疫.,2009-05-01,作废
GB 12021.2-2015,家用电冰箱耗电量限定值及能效等级,国家质量监督检验检疫.,2016-10-01,现行
GB 12021.2-2015E,家用电冰箱耗电量限定值及能效等级（英文版）,国家质量监督检验检疫.,2016-10-01,现行
GB 12021.3-2010,房间空气调节器能效限定值及能效等级,国家质量监督检验检疫.,2010-06-01,作废
GB 12021.4-2013,电动洗衣机能效水效限定值及等级,国家质量监督检验检疫.,2013-10-01,现行
GB 12021.4-2013E,电动洗衣机能效水效限定值及等级（英文版）,国家质量监督检验检疫.,2013-10-01,现行
GB 12021.6-2008,自动电饭锅能效限定值及能效等级,国家质量监督检验检疫.,2009-06-01,作废
GB 12021.6-2017,电饭锅能效限定值及能效等级,国家质量监督检验检疫.,2018-06-01,现行
GB 12021.6-2017E,电饭锅能效限定值及能效等级（英文版）,国家质量监督检验检疫.,2018-06-01,现行
GB 12021.7-2005,彩色电视广播接收机能效限定值及节能评价值,国家质量监督检验检疫.,2006-03-01,废止
GB 12021.9-2008,交流电风扇能效限定值及能效等级,国家质量监督检验检疫.,2009-06-01,作废
GB 12021.9-2021,电风扇能效限定值及能效等级,国家市场监督管理总局.,2022-11-01,现行
GB/T 12455-2010,宾馆、饭店合理用电,国家质量监督检验检疫.,2011-02-01,现行
GB/T 13462-2008,电力变压器经济运行,国家质量监督检验检疫.,2008-11-01,现行
GB/T 13467-2013,通风机系统电能平衡测试与计算方法,国家质量监督检验检疫.,2014-07-01,现行
GB/T 13468-2013,泵类液体输送系统电能平衡测试与计算方法,国家质量监督检验检疫.,2014-07-01,现行
GB/T 13469-2021,离心泵、混流泵与轴流泵系统经济运行,国家市场监督管理总局.,2021-12-01,现行
GB/T 13471-2008,节电技术经济效益计算与评价方法,国家质量监督检验检疫.,2009-05-01,现行
GB/T 13608-2009 ,合理润滑技术通则 ,国家质量监督检验检疫.,2010-05-01,现行
GB/T 14909-2021,能量系统 分析技术导则,国家市场监督管理总局.,2021-11-01,现行
GB/T 15317-2009,燃煤工业锅炉节能监测,国家质量监督检验检疫.,2010-05-01,现行
GB/T 15318-2010,热处理电炉节能监测,国家质量监督检验检疫.,2011-02-01,现行
GB/T 15587-2008,工业企业能源管理导则,国家质量监督检验检疫.,2009-05-01,现行
GB/T 15910-2009 ,热力输送系统节能监测 ,国家质量监督检验检疫.,2010-05-01,现行
GB/T 15911-2021,工业电热设备节能监测方法,国家市场监督管理总局.,2021-11-01,现行
GB/T 15912.1-2009 ,制冷机组及供制冷系统节能测试 第1部分：冷库 ,国家质量监督检验检疫.,2010-05-01,现行
GB/T 15913-2009,风机机组与管网系统节能监测,国家质量监督检验检疫.,2010-05-01,作废
GB/T 15913-2022,风机机组与管网系统节能监测,国家市场监督管理总局.,2022-10-12,现行
GB/T 15914-2021,蒸汽加热设备节能监测方法,国家市场监督管理总局.,2021-10-01,现行
GB/T 16665-2017,空气压缩机组及供气系统节能监测,国家质量监督检验检疫.,2018-05-01,现行
GB/T 16666-2012,泵类液体输送系统节能监测,国家质量监督检验检疫.,2013-10-01,现行
GB 16780-2012,水泥单位产品能源消耗限额,国家质量监督检验检疫.,2013-10-01,作废
GB 16780-2021,水泥单位产品能源消耗限额,国家市场监督管理总局.,2022-11-01,现行
GB/T 16811-2005,工业锅炉水处理设施运行效果与监测,国家质量监督检验检疫.,2005-11-01,作废
GB/T 16811-2018,工业锅炉水处理设施运行效果与监测,国家市场监督管理总局.,2018-12-01,现行
GB/T 17166-2019,能源审计技术通则,国家市场监督管理总局.,2020-05-01,现行
GB 17167-2006,用能单位能源计量器具配备和管理通则,国家质量监督检验检疫.,2007-01-01,现行
GB/T 17358-2009,热处理生产电耗计算和测定方法,国家质量监督检验检疫.,2009-11-01,现行
GB 17896-2012,管形荧光灯镇流器能效限定值及能效等级,国家质量监督检验检疫.,2012-09-01,现行
GB/T 18292-2009,生活锅炉经济运行,国家质量监督检验检疫.,2009-11-01,现行
GB 18613-2006,中小型三相异步电动机能效限定值及节能评价值,国家质量监督检验检疫.,2007-07-01,作废
GB 18613-2012,中小型三相异步电动机能效限定值及能效等级,国家质量监督检验检疫.,2012-09-01,作废
GB 18613-2020,电动机能效限定值及能效等级,国家市场监督管理总局.,2021-06-01,现行
GB 18613-2020E,电动机能效限定值及能效等级（英文版）,国家市场监督管理总局.,2021-06-01,现行
GB/T 18870-2011,节水型产品通用技术条件,国家质量监督检验检疫.,2012-07-01,现行
GB 19043-2013,普通照明用双端荧光灯能效限定值及能效等级,国家质量监督检验检疫.,2013-10-01,现行
GB 19044-2013,普通照明用自镇流荧光灯能效限定值及能效等级,国家质量监督检验检疫.,2013-10-01,现行
GB/T 19065-2011,电加热锅炉系统经济运行,国家质量监督检验检疫.,2012-03-01,现行
GB 19153-2009,容积式空气压缩机能效限定值及能效等级,国家质量监督检验检疫.,2009-12-01,作废
GB 19153-2019,容积式空气压缩机能效限定值及能效等级,国家市场监督管理总局.,2020-07-01,现行
GB 19415-2013,单端荧光灯能效限定值及节能评价值,国家质量监督检验检疫.,2014-09-01,现行
GB 19576-2019,单元式空气调节机能效限定值及能效等级,国家市场监督管理总局.,2020-11-01,现行
GB 19577-2015,冷水机组能效限定值及能效等级,国家质量监督检验检疫.,2017-01-01,现行
GB 19761-2009,通风机能效限定值及能效等级,国家质量监督检验检疫.,2010-09-01,作废
GB 19761-2020,通风机能效限定值及能效等级,国家市场监督管理总局.,2021-06-01,现行
GB 19762-2007,清水离心泵能效限定值及节能评价值,国家质量监督检验检疫.,2008-07-01,现行
GB/T 19939-2005,光伏系统并网技术要求,国家质量监督检验检疫.,2006-01-01,现行
GB/T 19944-2005,热处理生产燃料消耗定额及其计算和测定方法,国家质监督检验检疫总.,2006-04-01,作废
GB 20052-2006,三相配电变压器能效限定值及节能评价值,国家质量监督检验检疫.,2006-07-01,作废
GB 20052-2013,三相配电变压器能效限定值及能效等级,国家质量监督检验检疫.,2013-10-01,作废
GB 20052-2020,电力变压器能效限定值及能效等级,国家市场监督管理总局.,2021-06-01,现行
GB 20053-2006,金属卤化物灯用镇流器能效限定值及能效等级,国家质量监督检验检疫.,2006-07-01,作废
GB 20053-2015,金属卤化物灯用镇流器能效限定值及能效等级,国家质量监督检验检疫.,2017-01-01,现行
GB 20054-2006,金属卤化物灯能效限定值及能效等级,国家质量监督检验检疫.,2006-07-01,作废
GB 20054-2015,金属卤化物灯能效限定值及能效等级,国家质量监督检验检疫.,2017-01-01,现行
GB 20665-2006,家用燃气快速热水器和燃气采暖热水炉能效限定值及能效等级,国家质量监督检验检疫.,2007-07-01,作废
GB 20665-2015,家用燃气快速热水器和燃气采暖热水炉能效限定值及能效等级,国家质量监督检验检疫.,2016-06-01,现行
GB 20665-2015E,家用燃气快速热水器和燃气采暖热水炉能效限定值及能效等级（英文版）,国家质量监督检验检疫.,2016-06-01,现行
GB/T 20901-2007,石油石化行业能源计量器具配备和管理要求,国家质量监督检验检疫.,2007-10-01,现行
GB/T 20902-2007,有色金属冶炼企业能源计量器具配备和管理要求,国家质量监督检验检疫.,2007-10-01,现行
GB 20943-2007,单路输出式交流-直流和交流-交流外部电源能效限定值及节能评价值,国家质量监督检验检疫.,2007-12-01,作废
GB 20943-2013,单路输出式交流－直流和交流－交流外部电源能效限定值及节能评价值,国家质量监督检验检疫.,2014-09-01,现行
GB/T 21056-2007,风机、泵类负载变频调速节电传动系统及其应用技术条件,国家质量监督检验检疫.,2008-02-01,现行
GB 21248-2007,铜冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21248-2014,铜冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2015-01-01,现行
GB 21249-2007,锌冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21249-2014,锌冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2015-01-01,现行
GB 21250-2007,铅冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21250-2014,铅冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2015-01-01,现行
GB 21251-2007,镍冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21251-2014,镍冶炼企业单位产品能源消耗限额,国家质量监督检验检疫.,2015-01-01,现行
GB 21252-2007,建筑卫生陶瓷单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21252-2013,建筑卫生陶瓷单位产品能源消耗限额,国家质量监督检验检疫.,2014-12-01,现行
GB 21256-2007,粗钢生产主要工序单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21256-2013,粗钢生产主要工序单位产品　能源消耗限额,国家质量监督检验检疫.,2014-10-01,现行
GB 21256-2013/XG1-2018,《粗钢生产主要工序单位产品能源消耗限额》国家标准第1号修改单,国家市场监督管理总局.,2018-11-19,现行
GB 21257-2007,烧碱单位产品能源消耗限额,国家质量监督检验检疫.,2008-06-01,作废
GB 21257-2014,烧碱单位产品能源消耗限额,国家质量监督检验检疫.,2015-01-01,现行
